Town Code,Town,Year,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
1,Andover,2020,1317,18,1,32,0,51,3.87
2,Ansonia,2020,8148,349,764,147,0,1260,15.46
3,Ashford,2020,1903,32,0,36,0,68,3.57
4,Avon,2020,7389,244,16,44,0,304,4.11
5,Barkhamsted,2020,1589,0,6,23,0,29,1.83
6,Beacon Falls,2020,2509,0,4,46,0,50,1.99
7,Berlin,2020,8140,556,50,142,4,752,9.24
8,Bethany,2020,2044,0,2,13,0,15,0.73
9,Bethel,2020,7310,192,26,154,87,459,6.28
10,Bethlehem,2020,1575,24,0,9,0,33,2.10
11,Bloomfield,2020,9019,558,106,341,0,1005,11.14
12,Bolton,2020,2015,0,2,28,0,30,1.49
13,Bozrah,2020,1059,0,3,30,0,33,3.12
14,Branford,2020,13972,233,77,170,9,489,3.50
15,Bridgeport,2020,57012,6505,4353,900,19,11777,20.66
16,Bridgewater,2020,881,0,24,1,0,25,2.84
17,Bristol,2020,27011,1908,962,1124,0,3994,14.79
18,Brookfield,2020,6562,155,27,110,77,369,5.62
19,Brooklyn,2020,3235,189,9,65,0,263,8.13
20,Burlington,2020,3389,27,0,47,0,74,2.18
21,Canaan,2020,779,1,4,5,1,11,1.41
22,Canterbury,2020,2043,76,1,68,0,145,7.10
23,Canton,2020,4339,211,15,53,32,311,7.17
24,Chaplin,2020,988,0,1,37,0,38,3.85
25,Cheshire,2020,10424,258,22,100,17,397,3.81
26,Chester,2020,1923,23,3,16,0,42,2.18
27,Clinton,2020,6065,105,8,66,0,179,2.95
28,Colchester,2020,6182,364,38,146,4,552,8.93
29,Colebrook,2020,722,0,1,7,1,9,1.25
30,Columbia,2020,2308,24,2,62,0,88,3.81
31,Cornwall,2020,1007,28,2,6,0,36,3.57
32,Coventry,2020,5099,103,5,131,20,259,5.08
33,Cromwell,2020,6001,212,11,198,0,421,7.02
34,Danbury,2020,31154,1615,1269,565,289,3738,12.00
35,Darien,2020,7074,136,10,2,104,252,3.56
36,Deep River,2020,2096,26,6,32,0,64,3.05
37,Derby,2020,5849,275,301,111,0,687,11.75
38,Durham,2020,2694,36,1,28,0,65,2.41
40,East Granby,2020,2152,72,2,48,0,122,5.67
41,East Haddam,2020,4508,73,3,63,0,139,3.08
42,East Hampton,2020,5485,70,6,91,25,192,3.50
43,East Hartford,2020,21328,1593,815,1035,0,3443,16.14
44,East Haven,2020,12533,542,168,302,0,1012,8.07
45,East Lyme,2020,8458,396,20,95,19,530,6.27
47,East Windsor,2020,5045,559,42,116,0,717,14.21
39,Eastford,2020,793,0,0,15,0,15,1.89
46,Easton,2020,2715,0,0,3,15,18,0.66
48,Ellington,2020,6665,260,5,118,0,383,5.75
49,Enfield,2020,17558,1340,227,659,7,2233,12.72
50,Essex,2020,3261,58,2,17,16,93,2.85
51,Fairfield,2020,21648,231,131,70,124,556,2.57
52,Farmington,2020,11106,470,107,149,155,881,7.93
53,Franklin,2020,771,27,2,20,0,49,6.36
54,Glastonbury,2020,13656,604,44,133,2,783,5.73
55,Goshen,2020,1664,1,1,5,0,7,0.42
56,Granby,2020,4360,85,2,51,5,143,3.28
57,Greenwich,2020,25631,879,443,16,33,1371,5.35
58,Griswold,2020,5118,137,54,158,0,349,6.82
59,Groton,2020,17978,3727,107,377,10,4221,23.48
60,Guilford,2020,9596,186,10,34,0,230,2.40
61,Haddam,2020,3504,22,1,31,0,54,1.54
62,Hamden,2020,25114,937,788,523,4,2252,8.97
63,Hampton,2020,793,0,1,11,0,12,1.51
64,Hartford,2020,51822,10501,8635,1523,0,20659,39.87
65,Hartland,2020,856,2,0,8,0,10,1.17
66,Harwinton,2020,2282,22,5,36,5,68,2.98
67,Hebron,2020,3567,56,3,51,0,110,3.08
68,Kent,2020,1665,58,4,5,0,67,4.02
69,Killingly,2020,7592,520,147,188,0,855,11.26
70,Killingworth,2020,2598,0,0,18,5,23,0.89
71,Lebanon,2020,3125,26,3,84,0,113,3.62
72,Ledyard,2020,5987,32,8,233,0,273,4.56
73,Lisbon,2020,1730,2,0,59,0,61,3.53
74,Litchfield,2020,3975,140,2,28,19,189,4.75
75,Lyme,2020,1223,0,0,5,8,13,1.06
76,Madison,2020,8049,90,2,11,33,136,1.69
77,Manchester,2020,25996,1851,950,964,32,3797,14.61
78,Mansfield,2020,6017,175,124,96,2,397,6.60
79,Marlborough,2020,2389,24,0,24,0,48,2.01
80,Meriden,2020,25892,1964,1270,1029,11,4274,16.51
81,Middlebury,2020,2892,77,5,25,20,127,4.39
82,Middlefield,2020,1863,30,3,21,1,55,2.95
83,Middletown,2020,21223,3019,1123,543,25,4710,22.19
84,Milford,2020,23074,726,208,192,74,1200,5.20
85,Monroe,2020,6918,35,3,54,8,100,1.45
86,Montville,2020,7407,81,58,267,0,406,5.48
87,Morris,2020,1314,20,4,8,0,32,2.44
88,Naugatuck,2020,13061,493,315,367,0,1175,9.00
89,New Britain,2020,31226,2913,1583,1167,100,5763,18.46
90,New Canaan,2020,7551,175,21,5,21,222,2.94
91,New Fairfield,2020,5593,0,1,67,17,85,1.52
92,New Hartford,2020,2923,12,4,55,15,86,2.94
93,New Haven,2020,54967,9511,6867,982,440,17800,32.38
95,New London,2020,11840,1598,510,509,101,2718,22.96
96,New Milford,2020,11731,307,44,182,17,550,4.69
94,Newington,2020,13011,531,122,479,36,1168,8.98
97,Newtown,2020,10061,134,7,95,32,268,2.66
98,Norfolk,2020,967,21,2,5,0,28,2.90
99,North Branford,2020,5629,62,13,52,0,127,2.26
100,North Canaan,2020,1587,148,0,14,0,162,10.21
101,North Haven,2020,9491,393,53,97,23,566,5.96
102,North Stonington,2020,2306,0,1,27,6,34,1.47
103,Norwalk,2020,35415,2242,1468,437,635,4782,13.50
104,Norwich,2020,18659,2249,794,567,0,3610,19.35
105,Old Lyme,2020,5021,60,2,20,3,85,1.69
106,Old Saybrook,2020,5602,50,15,25,73,163,2.91
107,Orange,2020,5345,46,9,12,6,73,1.37
108,Oxford,2020,4746,36,2,31,0,69,1.45
109,Plainfield,2020,6229,377,190,224,0,791,12.70
110,Plainville,2020,8063,205,41,306,22,574,7.12
111,Plymouth,2020,5109,178,21,196,0,395,7.73
112,Pomfret,2020,1684,32,5,13,0,50,2.97
