,Town_Code,Year,_2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,prediction
0,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,2,3
3,0,0,0,0,0,0,1,0,3
4,0,0,0,0,0,0,1,1,3
5,0,0,0,0,0,0,1,2,3
6,0,0,0,0,0,0,2,0,3
7,0,0,0,0,0,0,2,1,3
8,0,0,0,0,0,0,2,2,3
9,0,0,0,0,0,1,0,0,0
10,0,0,0,0,0,1,0,1,0
11,0,0,0,0,0,1,0,2,0
12,0,0,0,0,0,1,1,0,0
13,0,0,0,0,0,1,1,1,0
14,0,0,0,0,0,1,1,2,0
15,0,0,0,0,0,1,2,0,0
16,0,0,0,0,0,1,2,1,0
17,0,0,0,0,0,1,2,2,0
18,0,0,0,0,0,2,0,0,0
19,0,0,0,0,0,2,0,1,0
20,0,0,0,0,0,2,0,2,0
21,0,0,0,0,0,2,1,0,0
22,0,0,0,0,0,2,1,1,0
23,0,0,0,0,0,2,1,2,0
24,0,0,0,0,0,2,2,0,0
25,0,0,0,0,0,2,2,1,0
26,0,0,0,0,0,2,2,2,0
27,0,0,0,0,1,0,0,0,2
28,0,0,0,0,1,0,0,1,2
29,0,0,0,0,1,0,0,2,2
30,0,0,0,0,1,0,1,0,2
31,0,0,0,0,1,0,1,1,2
32,0,0,0,0,1,0,1,2,2
33,0,0,0,0,1,0,2,0,2
34,0,0,0,0,1,0,2,1,2
35,0,0,0,0,1,0,2,2,2
36,0,0,0,0,1,1,0,0,2
37,0,0,0,0,1,1,0,1,2
38,0,0,0,0,1,1,0,2,2
39,0,0,0,0,1,1,1,0,2
40,0,0,0,0,1,1,1,1,2
41,0,0,0,0,1,1,1,2,2
42,0,0,0,0,1,1,2,0,2
43,0,0,0,0,1,1,2,1,2
44,0,0,0,0,1,1,2,2,2
45,0,0,0,0,1,2,0,0,2
46,0,0,0,0,1,2,0,1,2
47,0,0,0,0,1,2,0,2,2
48,0,0,0,0,1,2,1,0,2
